Beverage,Beverage_category,Beverage_prep,Milk_type,Calories,Total Fat (g),Trans Fat (g) ,Saturated Fat (g),Sodium (mg),Total Carbohydrates (g) ,Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV),Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Beverage_size,Beverage_category_Coffee,Beverage_category_Espresso Drink,Beverage_category_Frappuccino,Beverage_category_Shaken Iced Beverages,Beverage_category_Smoothies,Beverage_category_Tazo® Tea Drinks,Milk_type_No Milk,Milk_type_Nonfat Milk
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Grande,Nonfat Milk,240,2.5,1.5,0.0,5,140,48,2,41,14.0,20%,0%,40%,25%,25,2,False,True,False,False,False,False,False,True
Hot Chocolate (Without Whipped Cream),Signature Espresso Drinks,Venti,Nonfat Milk,320,3.0,2.0,0.0,10,180,63,2,55,18.0,25%,0%,50%,30%,30,3,False,True,False,False,False,False,False,True
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Short,No Milk,140,0.0,0.0,0.0,0,10,35,0,33,0.0,0%,0%,0%,0%,0,0,False,True,False,False,False,False,True,False
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Tall,No Milk,210,0.0,0.0,0.0,0,15,53,0,49,0.0,0%,0%,0%,0%,0,1,False,True,False,False,False,False,True,False
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Grande,No Milk,280,0.0,0.0,0.0,0,20,70,0,65,0.0,0%,0%,0%,0%,0,2,False,True,False,False,False,False,True,False
Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Venti,No Milk,360,0.0,0.0,0.0,0,25,89,0,83,0.0,0%,0%,0%,0%,0,3,False,True,False,False,False,False,True,False
Tazo® Tea,Tazo® Tea Drinks,Short,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,0,False,False,False,False,False,True,True,False
Tazo® Tea,Tazo® Tea Drinks,Tall,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,1,False,False,False,False,False,True,True,False
Tazo® Tea,Tazo® Tea Drinks,Grande,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,2,False,False,False,False,False,True,True,False
Tazo® Tea,Tazo® Tea Drinks,Venti,No Milk,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0%,0%,0%,0%,Varies,3,False,False,False,False,False,True,True,False
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Short,Nonfat Milk,100,0.1,0.1,0.0,0,50,22,0,21,4.0,6%,0%,10%,0%,50,0,False,False,False,False,False,True,False,True
Tazo® Chai Tea Latte,Tazo® Tea Drinks,Tall,Nonfat Milk,160,0.2,0.1,0.0,5,80,34,0,32,6.0,10%,0%,20%,2%,70,1,False,False,False,False,False,True,False,True
